source,target,value
Kinematics-Projectile Motion,Angular displacement,0.2
Kinematics-Projectile Motion,Velocity and acceleration,0.2
Kinematics-Projectile Motion,Relation between rotational motion and linear motion,0.2
Kinematics-Projectile Motion,Rotational motion at constant angular acceleration,0.2
Kinematics-Projectile Motion,Centripetal acceleration and centripetal force,0.2
Kinematics-Projectile Motion,Rotational motion on horizontal and vertical planes,0.2
Kinematics-Projectile Motion,Conical pendulum,0.2
Kinematics-Projectile Motion,Centre of mass and torque,0.2
Kinematics-Projectile Motion,Moment of inertia and parallel axis theorem,0.2
Kinematics-Projectile Motion,Rotational kinetic energy,0.2
Kinematics-Projectile Motion,Angular momentum,0.2
Kinematics-Projectile Motion,Conservation of angular momentum,0.2
Kinematics-Projectile Motion,Newton’s law of gravitation,0.2
Kinematics-Projectile Motion,Gravitational field,0.2
Kinematics-Projectile Motion,Gravitational potential,0.2
Kinematics-Projectile Motion,The motion of satellite,0.2
Kinematics-Projectile Motion,Escape velocity,0.2
Kinematics-Projectile Motion,Center of gravity,0.2
Kinematics-Projectile Motion,Force equilibrium and torque equlilbrium,0.2
Dynamics -Newton’s Laws of Motion,Kinematics-Linear Motion,0.3
Dynamics -Newton’s Laws of Motion,Kinematics-Free Fall,0.4
Dynamics -Newton’s Laws of Motion,Kinematics-Projectile Motion,0.4
Dynamics -Newton’s Laws of Motion,Dynamics -Newton’s Laws of Motion,1
Dynamics -Newton’s Laws of Motion,Dynamics -Motion on inclined planes,0.4
Dynamics -Newton’s Laws of Motion,"Work, kinetic energy and potential energy",0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Work-energy theorem,0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Conservation of energy,0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Power,0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Linear momentum,0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics -Newton’s Laws of Motion,Dynamics-Elastic collision,0.2
Dynamics -Newton’s Laws of Motion,Dynamics-Inelastic collision,0.5
Dynamics -Newton’s Laws of Motion,Dynamics-Collision in 2-dimension,0.5
Dynamics -Newton’s Laws of Motion,Angular displacement,0.2
Dynamics -Newton’s Laws of Motion,Velocity and acceleration,0.2
Dynamics -Newton’s Laws of Motion,Relation between rotational motion and linear motion,0.2
Dynamics -Newton’s Laws of Motion,Rotational motion at constant angular acceleration,0.2
Dynamics -Newton’s Laws of Motion,Centripetal acceleration and centripetal force,0.2
Dynamics -Newton’s Laws of Motion,Rotational motion on horizontal and vertical planes,0.2
Dynamics -Newton’s Laws of Motion,Conical pendulum,0.2
Dynamics -Newton’s Laws of Motion,Centre of mass and torque,0.2
Dynamics -Newton’s Laws of Motion,Moment of inertia and parallel axis theorem,0.2
Dynamics -Newton’s Laws of Motion,Rotational kinetic energy,0.2
Dynamics -Newton’s Laws of Motion,Angular momentum,0.2
Dynamics -Newton’s Laws of Motion,Conservation of angular momentum,0.2
Dynamics -Newton’s Laws of Motion,Newton’s law of gravitation,0.2
Dynamics -Newton’s Laws of Motion,Gravitational field,0.2
Dynamics -Newton’s Laws of Motion,Gravitational potential,0.2
Dynamics -Newton’s Laws of Motion,The motion of satellite,0.2
Dynamics -Newton’s Laws of Motion,Escape velocity,0.2
Dynamics -Newton’s Laws of Motion,Center of gravity,0.2
Dynamics -Newton’s Laws of Motion,Force equilibrium and torque equlilbrium,0.2
Dynamics -Motion on inclined planes,Kinematics-Linear Motion,0.25
Dynamics -Motion on inclined planes,Kinematics-Free Fall,0.3
Dynamics -Motion on inclined planes,Kinematics-Projectile Motion,0.3
Dynamics -Motion on inclined planes,Dynamics -Newton’s Laws of Motion,0.4
Dynamics -Motion on inclined planes,Dynamics -Motion on inclined planes,1
Dynamics -Motion on inclined planes,"Work, kinetic energy and potential energy",0.4
Dynamics -Motion on inclined planes,Dynamics-Work-energy theorem,0.4
Dynamics -Motion on inclined planes,Dynamics-Conservation of energy,0.4
Dynamics -Motion on inclined planes,Dynamics-Power,0.4
Dynamics -Motion on inclined planes,Dynamics-Linear momentum,0.4
Dynamics -Motion on inclined planes,Dynamics-Conservation of linear momentum and impulse,0.2
Dynamics -Motion on inclined planes,Dynamics-Elastic collision,0.2
Dynamics -Motion on inclined planes,Dynamics-Inelastic collision,0.4
Dynamics -Motion on inclined planes,Dynamics-Collision in 2-dimension,0.4
Dynamics -Motion on inclined planes,Angular displacement,0.2
Dynamics -Motion on inclined planes,Velocity and acceleration,0.2
Dynamics -Motion on inclined planes,Relation between rotational motion and linear motion,0.2
Dynamics -Motion on inclined planes,Rotational motion at constant angular acceleration,0.2
Dynamics -Motion on inclined planes,Centripetal acceleration and centripetal force,0.2
Dynamics -Motion on inclined planes,Rotational motion on horizontal and vertical planes,0.2
Dynamics -Motion on inclined planes,Conical pendulum,0.2
Dynamics -Motion on inclined planes,Centre of mass and torque,0.2
Dynamics -Motion on inclined planes,Moment of inertia and parallel axis theorem,0.2
Dynamics -Motion on inclined planes,Rotational kinetic energy,0.2
Dynamics -Motion on inclined planes,Angular momentum,0.2
Dynamics -Motion on inclined planes,Conservation of angular momentum,0.2
Dynamics -Motion on inclined planes,Newton’s law of gravitation,0.2
Dynamics -Motion on inclined planes,Gravitational field,0.2
Dynamics -Motion on inclined planes,Gravitational potential,0.2
Dynamics -Motion on inclined planes,The motion of satellite,0.2
Dynamics -Motion on inclined planes,Escape velocity,0.2
Dynamics -Motion on inclined planes,Center of gravity,0.2
Dynamics -Motion on inclined planes,Force equilibrium and torque equlilbrium,0.2
"Work, kinetic energy and potential energy",Kinematics-Linear Motion,0.3
"Work, kinetic energy and potential energy",Kinematics-Free Fall,0.4
"Work, kinetic energy and potential energy",Kinematics-Projectile Motion,0.4
"Work, kinetic energy and potential energy",Dynamics -Newton’s Laws of Motion,0.5
"Work, kinetic energy and potential energy",Dynamics -Motion on inclined planes,0.4
"Work, kinetic energy and potential energy","Work, kinetic energy and potential energy",1
"Work, kinetic energy and potential energy",Dynamics-Work-energy theorem,0.5
"Work, kinetic energy and potential energy",Dynamics-Conservation of energy,0.5
"Work, kinetic energy and potential energy",Dynamics-Power,0.5
"Work, kinetic energy and potential energy",Dynamics-Linear momentum,0.5
"Work, kinetic energy and potential energy",Dynamics-Conservation of linear momentum and impulse,0.25
"Work, kinetic energy and potential energy",Dynamics-Elastic collision,0.2
"Work, kinetic energy and potential energy",Dynamics-Inelastic collision,0.5
"Work, kinetic energy and potential energy",Dynamics-Collision in 2-dimension,0.5
"Work, kinetic energy and potential energy",Angular displacement,0.2
"Work, kinetic energy and potential energy",Velocity and acceleration,0.2
"Work, kinetic energy and potential energy",Relation between rotational motion and linear motion,0.2
"Work, kinetic energy and potential energy",Rotational motion at constant angular acceleration,0.2
"Work, kinetic energy and potential energy",Centripetal acceleration and centripetal force,0.2
"Work, kinetic energy and potential energy",Rotational motion on horizontal and vertical planes,0.2
"Work, kinetic energy and potential energy",Conical pendulum,0.2
"Work, kinetic energy and potential energy",Centre of mass and torque,0.2
"Work, kinetic energy and potential energy",Moment of inertia and parallel axis theorem,0.2
"Work, kinetic energy and potential energy",Rotational kinetic energy,0.2
"Work, kinetic energy and potential energy",Angular momentum,0.2
"Work, kinetic energy and potential energy",Conservation of angular momentum,0.2
"Work, kinetic energy and potential energy",Newton’s law of gravitation,0.2
"Work, kinetic energy and potential energy",Gravitational field,0.2
"Work, kinetic energy and potential energy",Gravitational potential,0.2
"Work, kinetic energy and potential energy",The motion of satellite,0.2
"Work, kinetic energy and potential energy",Escape velocity,0.2
"Work, kinetic energy and potential energy",Center of gravity,0.2
"Work, kinetic energy and potential energy",Force equilibrium and torque equlilbrium,0.2
Dynamics-Work-energy theorem,Kinematics-Linear Motion,0.3
Dynamics-Work-energy theorem,Kinematics-Free Fall,0.4
Dynamics-Work-energy theorem,Kinematics-Projectile Motion,0.4
Dynamics-Work-energy theorem,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Work-energy theorem,Dynamics -Motion on inclined planes,0.4
Dynamics-Work-energy theorem,"Work, kinetic energy and potential energy",0.5
Dynamics-Work-energy theorem,Dynamics-Work-energy theorem,1
Dynamics-Work-energy theorem,Dynamics-Conservation of energy,0.5
Dynamics-Work-energy theorem,Dynamics-Power,0.5
Dynamics-Work-energy theorem,Dynamics-Linear momentum,0.5
Dynamics-Work-energy theorem,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Work-energy theorem,Dynamics-Elastic collision,0.2
Dynamics-Work-energy theorem,Dynamics-Inelastic collision,0.5
Dynamics-Work-energy theorem,Dynamics-Collision in 2-dimension,0.5
Dynamics-Work-energy theorem,Angular displacement,0.2
Dynamics-Work-energy theorem,Velocity and acceleration,0.2
Dynamics-Work-energy theorem,Relation between rotational motion and linear motion,0.2
Dynamics-Work-energy theorem,Rotational motion at constant angular acceleration,0.2
Dynamics-Work-energy theorem,Centripetal acceleration and centripetal force,0.2
Dynamics-Work-energy theorem,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Work-energy theorem,Conical pendulum,0.2
Dynamics-Work-energy theorem,Centre of mass and torque,0.2
Dynamics-Work-energy theorem,Moment of inertia and parallel axis theorem,0.2
Dynamics-Work-energy theorem,Rotational kinetic energy,0.2
Dynamics-Work-energy theorem,Angular momentum,0.2
Dynamics-Work-energy theorem,Conservation of angular momentum,0.2
Dynamics-Work-energy theorem,Newton’s law of gravitation,0.2
Dynamics-Work-energy theorem,Gravitational field,0.2
Dynamics-Work-energy theorem,Gravitational potential,0.2
Dynamics-Work-energy theorem,The motion of satellite,0.2
Dynamics-Work-energy theorem,Escape velocity,0.2
Dynamics-Work-energy theorem,Center of gravity,0.2
Dynamics-Work-energy theorem,Force equilibrium and torque equlilbrium,0.2
Dynamics-Conservation of energy,Kinematics-Linear Motion,0.3
Dynamics-Conservation of energy,Kinematics-Free Fall,0.4
Dynamics-Conservation of energy,Kinematics-Projectile Motion,0.4
Dynamics-Conservation of energy,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Conservation of energy,Dynamics -Motion on inclined planes,0.4
Dynamics-Conservation of energy,"Work, kinetic energy and potential energy",0.5
Dynamics-Conservation of energy,Dynamics-Work-energy theorem,0.5
Dynamics-Conservation of energy,Dynamics-Conservation of energy,1
Dynamics-Conservation of energy,Dynamics-Power,0.5
Dynamics-Conservation of energy,Dynamics-Linear momentum,0.5
Dynamics-Conservation of energy,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Conservation of energy,Dynamics-Elastic collision,0.2
Dynamics-Conservation of energy,Dynamics-Inelastic collision,0.5
Dynamics-Conservation of energy,Dynamics-Collision in 2-dimension,0.5
Dynamics-Conservation of energy,Angular displacement,0.2
Dynamics-Conservation of energy,Velocity and acceleration,0.2
Dynamics-Conservation of energy,Relation between rotational motion and linear motion,0.2
Dynamics-Conservation of energy,Rotational motion at constant angular acceleration,0.2
Dynamics-Conservation of energy,Centripetal acceleration and centripetal force,0.2
Dynamics-Conservation of energy,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Conservation of energy,Conical pendulum,0.2
Dynamics-Conservation of energy,Centre of mass and torque,0.2
Dynamics-Conservation of energy,Moment of inertia and parallel axis theorem,0.2
Dynamics-Conservation of energy,Rotational kinetic energy,0.2
Dynamics-Conservation of energy,Angular momentum,0.2
Dynamics-Conservation of energy,Conservation of angular momentum,0.2
Dynamics-Conservation of energy,Newton’s law of gravitation,0.2
Dynamics-Conservation of energy,Gravitational field,0.2
Dynamics-Conservation of energy,Gravitational potential,0.2
Dynamics-Conservation of energy,The motion of satellite,0.2
Dynamics-Conservation of energy,Escape velocity,0.2
Dynamics-Conservation of energy,Center of gravity,0.2
Dynamics-Conservation of energy,Force equilibrium and torque equlilbrium,0.2
Dynamics-Power,Kinematics-Linear Motion,0.3
Dynamics-Power,Kinematics-Free Fall,0.4
Dynamics-Power,Kinematics-Projectile Motion,0.4
Dynamics-Power,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Power,Dynamics -Motion on inclined planes,0.4
Dynamics-Power,"Work, kinetic energy and potential energy",0.5
Dynamics-Power,Dynamics-Work-energy theorem,0.5
Dynamics-Power,Dynamics-Conservation of energy,0.5
Dynamics-Power,Dynamics-Power,1
Dynamics-Power,Dynamics-Linear momentum,0.5
Dynamics-Power,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Power,Dynamics-Elastic collision,0.2
Dynamics-Power,Dynamics-Inelastic collision,0.5
Dynamics-Power,Dynamics-Collision in 2-dimension,0.5
Dynamics-Power,Angular displacement,0.2
Dynamics-Power,Velocity and acceleration,0.2
Dynamics-Power,Relation between rotational motion and linear motion,0.2
Dynamics-Power,Rotational motion at constant angular acceleration,0.2
Dynamics-Power,Centripetal acceleration and centripetal force,0.2
Dynamics-Power,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Power,Conical pendulum,0.2
Dynamics-Power,Centre of mass and torque,0.2
Dynamics-Power,Moment of inertia and parallel axis theorem,0.2
Dynamics-Power,Rotational kinetic energy,0.2
Dynamics-Power,Angular momentum,0.2
Dynamics-Power,Conservation of angular momentum,0.2
Dynamics-Power,Newton’s law of gravitation,0.2
Dynamics-Power,Gravitational field,0.2
Dynamics-Power,Gravitational potential,0.2
Dynamics-Power,The motion of satellite,0.2
Dynamics-Power,Escape velocity,0.2
Dynamics-Power,Center of gravity,0.2
Dynamics-Power,Force equilibrium and torque equlilbrium,0.2
Dynamics-Linear momentum,Kinematics-Linear Motion,0.3
Dynamics-Linear momentum,Kinematics-Free Fall,0.4
Dynamics-Linear momentum,Kinematics-Projectile Motion,0.4
Dynamics-Linear momentum,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Linear momentum,Dynamics -Motion on inclined planes,0.4
Dynamics-Linear momentum,"Work, kinetic energy and potential energy",0.5
Dynamics-Linear momentum,Dynamics-Work-energy theorem,0.5
Dynamics-Linear momentum,Dynamics-Conservation of energy,0.5
Dynamics-Linear momentum,Dynamics-Power,0.5
Dynamics-Linear momentum,Dynamics-Linear momentum,1
Dynamics-Linear momentum,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Linear momentum,Dynamics-Elastic collision,0.2
Dynamics-Linear momentum,Dynamics-Inelastic collision,0.5
Dynamics-Linear momentum,Dynamics-Collision in 2-dimension,0.5
Dynamics-Linear momentum,Angular displacement,0.2
Dynamics-Linear momentum,Velocity and acceleration,0.2
Dynamics-Linear momentum,Relation between rotational motion and linear motion,0.2
Dynamics-Linear momentum,Rotational motion at constant angular acceleration,0.2
Dynamics-Linear momentum,Centripetal acceleration and centripetal force,0.2
Dynamics-Linear momentum,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Linear momentum,Conical pendulum,0.2
Dynamics-Linear momentum,Centre of mass and torque,0.2
Dynamics-Linear momentum,Moment of inertia and parallel axis theorem,0.2
Dynamics-Linear momentum,Rotational kinetic energy,0.2
Dynamics-Linear momentum,Angular momentum,0.2
Dynamics-Linear momentum,Conservation of angular momentum,0.2
Dynamics-Linear momentum,Newton’s law of gravitation,0.2
Dynamics-Linear momentum,Gravitational field,0.2
Dynamics-Linear momentum,Gravitational potential,0.2
Dynamics-Linear momentum,The motion of satellite,0.2
Dynamics-Linear momentum,Escape velocity,0.2
Dynamics-Linear momentum,Center of gravity,0.2
Dynamics-Linear momentum,Force equilibrium and torque equlilbrium,0.2
Dynamics-Conservation of linear momentum and impulse,Kinematics-Linear Motion,0.2
Dynamics-Conservation of linear momentum and impulse,Kinematics-Free Fall,0.2
Dynamics-Conservation of linear momentum and impulse,Kinematics-Projectile Motion,0.2
Dynamics-Conservation of linear momentum and impulse,Dynamics -Newton’s Laws of Motion,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics -Motion on inclined planes,0.2
Dynamics-Conservation of linear momentum and impulse,"Work, kinetic energy and potential energy",0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Work-energy theorem,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Conservation of energy,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Power,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Linear momentum,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Conservation of linear momentum and impulse,1
Dynamics-Conservation of linear momentum and impulse,Dynamics-Elastic collision,0.2
Dynamics-Conservation of linear momentum and impulse,Dynamics-Inelastic collision,0.25
Dynamics-Conservation of linear momentum and impulse,Dynamics-Collision in 2-dimension,0.25
Dynamics-Conservation of linear momentum and impulse,Angular displacement,0.1
Dynamics-Conservation of linear momentum and impulse,Velocity and acceleration,0.1
Dynamics-Conservation of linear momentum and impulse,Relation between rotational motion and linear motion,0.1
Dynamics-Conservation of linear momentum and impulse,Rotational motion at constant angular acceleration,0.1
Dynamics-Conservation of linear momentum and impulse,Centripetal acceleration and centripetal force,0.1
Dynamics-Conservation of linear momentum and impulse,Rotational motion on horizontal and vertical planes,0.1
Dynamics-Conservation of linear momentum and impulse,Conical pendulum,0.1
Dynamics-Conservation of linear momentum and impulse,Centre of mass and torque,0.1
Dynamics-Conservation of linear momentum and impulse,Moment of inertia and parallel axis theorem,0.1
Dynamics-Conservation of linear momentum and impulse,Rotational kinetic energy,0.1
Dynamics-Conservation of linear momentum and impulse,Angular momentum,0.1
Dynamics-Conservation of linear momentum and impulse,Conservation of angular momentum,0.1
Dynamics-Conservation of linear momentum and impulse,Newton’s law of gravitation,0.1
Dynamics-Conservation of linear momentum and impulse,Gravitational field,0.1
Dynamics-Conservation of linear momentum and impulse,Gravitational potential,0.1
Dynamics-Conservation of linear momentum and impulse,The motion of satellite,0.1
Dynamics-Conservation of linear momentum and impulse,Escape velocity,0.1
Dynamics-Conservation of linear momentum and impulse,Center of gravity,0.1
Dynamics-Conservation of linear momentum and impulse,Force equilibrium and torque equlilbrium,0.1
Dynamics-Elastic collision,Kinematics-Linear Motion,0.2
Dynamics-Elastic collision,Kinematics-Free Fall,0.2
Dynamics-Elastic collision,Kinematics-Projectile Motion,0.2
Dynamics-Elastic collision,Dynamics -Newton’s Laws of Motion,0.2
Dynamics-Elastic collision,Dynamics -Motion on inclined planes,0.3
Dynamics-Elastic collision,"Work, kinetic energy and potential energy",0.2
Dynamics-Elastic collision,Dynamics-Work-energy theorem,0.2
Dynamics-Elastic collision,Dynamics-Conservation of energy,0.2
Dynamics-Elastic collision,Dynamics-Power,0.2
Dynamics-Elastic collision,Dynamics-Linear momentum,0.2
Dynamics-Elastic collision,Dynamics-Conservation of linear momentum and impulse,0.1
Dynamics-Elastic collision,Dynamics-Elastic collision,1
Dynamics-Elastic collision,Dynamics-Inelastic collision,0.2
Dynamics-Elastic collision,Dynamics-Collision in 2-dimension,0.2
Dynamics-Elastic collision,Angular displacement,0.1
Dynamics-Elastic collision,Velocity and acceleration,0.1
Dynamics-Elastic collision,Relation between rotational motion and linear motion,0.1
Dynamics-Elastic collision,Rotational motion at constant angular acceleration,0.1
Dynamics-Elastic collision,Centripetal acceleration and centripetal force,0.1
Dynamics-Elastic collision,Rotational motion on horizontal and vertical planes,0.1
Dynamics-Elastic collision,Conical pendulum,0.1
Dynamics-Elastic collision,Centre of mass and torque,0.1
Dynamics-Elastic collision,Moment of inertia and parallel axis theorem,0.1
Dynamics-Elastic collision,Rotational kinetic energy,0.1
Dynamics-Elastic collision,Angular momentum,0.1
Dynamics-Elastic collision,Conservation of angular momentum,0.1
Dynamics-Elastic collision,Newton’s law of gravitation,0.1
Dynamics-Elastic collision,Gravitational field,0.1
Dynamics-Elastic collision,Gravitational potential,0.1
Dynamics-Elastic collision,The motion of satellite,0.1
Dynamics-Elastic collision,Escape velocity,0.1
Dynamics-Elastic collision,Center of gravity,0.1
Dynamics-Elastic collision,Force equilibrium and torque equlilbrium,0.1
Dynamics-Inelastic collision,Kinematics-Linear Motion,0.3
Dynamics-Inelastic collision,Kinematics-Free Fall,0.4
Dynamics-Inelastic collision,Kinematics-Projectile Motion,0.4
Dynamics-Inelastic collision,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Inelastic collision,Dynamics -Motion on inclined planes,0.4
Dynamics-Inelastic collision,"Work, kinetic energy and potential energy",0.5
Dynamics-Inelastic collision,Dynamics-Work-energy theorem,0.5
Dynamics-Inelastic collision,Dynamics-Conservation of energy,0.5
Dynamics-Inelastic collision,Dynamics-Power,0.5
Dynamics-Inelastic collision,Dynamics-Linear momentum,0.5
Dynamics-Inelastic collision,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Inelastic collision,Dynamics-Elastic collision,0.2
Dynamics-Inelastic collision,Dynamics-Inelastic collision,1
Dynamics-Inelastic collision,Dynamics-Collision in 2-dimension,0.5
Dynamics-Inelastic collision,Angular displacement,0.2
Dynamics-Inelastic collision,Velocity and acceleration,0.2
Dynamics-Inelastic collision,Relation between rotational motion and linear motion,0.2
Dynamics-Inelastic collision,Rotational motion at constant angular acceleration,0.2
Dynamics-Inelastic collision,Centripetal acceleration and centripetal force,0.2
Dynamics-Inelastic collision,Rotational motion on horizontal and vertical planes,0.2
Dynamics-Inelastic collision,Conical pendulum,0.2
Dynamics-Inelastic collision,Centre of mass and torque,0.2
Dynamics-Inelastic collision,Moment of inertia and parallel axis theorem,0.2
Dynamics-Inelastic collision,Rotational kinetic energy,0.2
Dynamics-Inelastic collision,Angular momentum,0.2
Dynamics-Inelastic collision,Conservation of angular momentum,0.2
Dynamics-Inelastic collision,Newton’s law of gravitation,0.2
Dynamics-Inelastic collision,Gravitational field,0.2
Dynamics-Inelastic collision,Gravitational potential,0.2
Dynamics-Inelastic collision,The motion of satellite,0.2
Dynamics-Inelastic collision,Escape velocity,0.2
Dynamics-Inelastic collision,Center of gravity,0.2
Dynamics-Inelastic collision,Force equilibrium and torque equlilbrium,0.2
Dynamics-Collision in 2-dimension,Kinematics-Linear Motion,0.3
Dynamics-Collision in 2-dimension,Kinematics-Free Fall,0.4
Dynamics-Collision in 2-dimension,Kinematics-Projectile Motion,0.4
Dynamics-Collision in 2-dimension,Dynamics -Newton’s Laws of Motion,0.5
Dynamics-Collision in 2-dimension,Dynamics -Motion on inclined planes,0.4
Dynamics-Collision in 2-dimension,"Work, kinetic energy and potential energy",0.5
Dynamics-Collision in 2-dimension,Dynamics-Work-energy theorem,0.5
Dynamics-Collision in 2-dimension,Dynamics-Conservation of energy,0.5
Dynamics-Collision in 2-dimension,Dynamics-Power,0.5
Dynamics-Collision in 2-dimension,Dynamics-Linear momentum,0.5
Dynamics-Collision in 2-dimension,Dynamics-Conservation of linear momentum and impulse,0.25
Dynamics-Collision in 2-dimension,Dynamics-Elastic collision,0.2
Dynamics-Collision in 2-dimension,Dynamics-Inelastic collision,0.5
Dynamics-Collision in 2-dimension,Dynamics-Collision in 2-dimension,1
Dynamics-Collision in 2-dimension,Angular displacement,0.2
Dynamics-Collision in 2-dimension,Velocity and acceleration,0.2
Dynamics-Collision in 2-dimension,Relation between rotational motion and linear motion,0.2
